,ETH Price,BTC Price,ETH_Comp,BTC_Comp,Cash,ETH_Value,BTC_Value,Total_Value,ETH_Percentage,BTC_Percentage,Cash_Percentage
2024-08-27 07:00:00,2695.32,63054.0,95.16399665178304,0.0,0,256497.42345548386,0.0,256497.42345548386,100.0,0.0,0.0
2024-08-27 08:00:00,2678.04,62678.0,95.16399665178304,0.0,0,254852.98959334104,0.0,254852.98959334104,100.0,0.0,0.0
2024-08-27 09:00:00,2688.72,62770.0,95.16399665178304,0.0,0,255869.34107758207,0.0,255869.34107758207,100.0,0.0,0.0
2024-08-27 10:00:00,2687.56,62691.0,23.36466823665164,3.0754865428760882,0,62793.94776609548,192805.32685944485,255599.27462554033,24.56734192931113,75.43265807068886,0.0
2024-08-27 11:00:00,2646.41,62254.0,95.10458357228875,0.0,0,251685.72101154065,0.0,251685.72101154065,100.0,0.0,0.0
2024-08-27 12:00:00,2632.02,62090.0,42.68736349431872,2.22824967691298,0,112353.99446431675,138352.02243952692,250706.01690384367,44.815037090796764,55.18496290920323,0.0
2024-08-27 13:00:00,2629.11,62354.0,77.57846356984129,0.7492019523071347,0,203962.31435610543,46715.73853415908,250678.05289026452,81.36424868649786,18.635751313502148,0.0
2024-08-27 14:00:00,2616.86,62253.0,0.0,4.020240127181327,0,0.0,250272.00863741915,250272.00863741915,0.0,100.0,0.0
2024-08-27 15:00:00,2612.47,62191.0,0.0,4.020240127181327,0,0.0,250022.7537495339,250022.7537495339,0.0,100.0,0.0
2024-08-27 16:00:00,2587.57,61838.0,95.70358846208146,0.0,0,247639.73439682813,0.0,247639.73439682813,100.0,0.0,0.0
2024-08-27 17:00:00,2581.39,61558.0,47.851794235258616,2.0023265174730747,0,123524.14312095424,123259.21576260753,246783.35888356177,50.053676098652936,49.94632390134707,0.0
2024-08-27 18:00:00,2567.85,61485.0,95.60095874066367,0.0,0,245488.9219022132,0.0,245488.9219022132,100.0,0.0,0.0
2024-08-27 19:00:00,2583.42,61702.0,0.0,3.99266360741991,0,0.0,246355.3299050233,246355.3299050233,0.0,100.0,0.0
